Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb42399824h | ISBN 9782916899503 | ;42399824;monographie;texte imprimé;"Jumong / texte de Kim Hyang-Keum ; illustrations de Kim Dong-Seong ; traduit du coréen par Lim Yeong-Hee et Françoise Nagel";Kim, Hyang-geum. Auteur du texte;Kim, Dong-Seong (1970-....). Illustrateur | Lim, Yeong-Hee (1960-....). Traducteur | Nagel, Françoise (1951-....). Traducteur | ;Chan-ok (Paris);2011;Collection : Perles du ciel | Code à barres commercial : EAN 9782916899503 | ;;fre | français | ;"1 vol. (non paginé [48] p.) : ill. en coul., couv. ill. en coul. ; 23 x 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb425300545 | ISBN 9782211206549 | ;42530054;monographie;texte imprimé;Je ne suis pas Eugénie Grandet / Shaïne Cassim;Cassim, Shaïne (1966-....). Auteur du texte;;l'École des loisirs (Paris);2011;Collection : Médium | Code à barres commercial : EAN 9782211206549 | ;;fre | français | ;"1 vol. (181 p.) : couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb42518934j | ISBN 9782211203661 | ;42518934;monographie;texte imprimé;"Le géant et le gigot / Christian Oster ; illustrations d'Audrey Poussier";Oster, Christian (1949-....). Auteur du texte;Poussier, Audrey (1978-....). Illustrateur;l'École des loisirs (Paris);2011;Collection : Mouche | Code à barres commercial : EAN 9782211203661 | ;;fre | français | ;"1 vol. (53 p.) : ill. en coul., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb42396244r | ISBN 9782812304149 | ;42396244;monographie;texte imprimé;Le petit livre des fables de La Fontaine;La Fontaine, Jean de (1621-1695). Auteur du texte;;Chêne (Paris);2011;Code à barres commercial : EAN 9782812304149;;fre | français | ;"1 vol. (192 p.) : ill. en noir et en coul., couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb42396724h | ISBN 9782013228701 | ;42396724;monographie;texte imprimé;"L'oeil du golem / Jonathan Stroud ; traduit de l'anglais par Hélène Collon";Stroud, Jonathan (1970-....). Auteur du texte;Collon, Hélène (1961-....). Traducteur;le Livre de poche jeunesse (Paris);2011;Collection : Le livre de poche | Code à barres commercial : EAN 9782013228701 | ;;fre | français | ;"1 vol. (663 p.) : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb424893541 | ISBN 9782723482592 | ;42489354;monographie;texte imprimé;Le coup d'envoi d'un match de rêve ! / Yoichi Takahashi;Takahashi, Yōichi (1960-....). Auteur du texte;;Glénat (Grenoble);2011;Collection : Shonen manga | Code à barres commercial : EAN 9782723482592 | ;;fre | français | ;"1 vol. (182 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42498134t | ISBN 9782505012177 | ;42498134;monographie;texte imprimé;Saint Seiya : les chevaliers du Zodiaque. Volume 4 / Masami Kurumada;Kurumada, Masami (1953-....). Auteur du texte;;Kana (Bruxelles);2011;Code à barres commercial : EAN 9782505012177 | Code à barres commercial : EAN 9782505081562 | ;;fre | français | ;"1 vol. (214 p.) : ill. en noir et en coul., couv. ill., jaquette ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb427063843 | ISBN 9782745953056 | ;42706384;monographie;texte imprimé;Musique ! / Zidrou, De Brab;Zidrou (1962-....). Auteur du texte | De Brab (1958-....). Auteur du texte | ;;BD kids (Toulouse);2012;Code à barres commercial : EAN 9782745953056;;fre | français | ;"1 vol. (48 p.) : ill. en coul., couv. ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb424226240 | ISBN 9782092023143 | ;42422624;monographie;texte imprimé;Instinct. 1 / Vincent Villeminot;Villeminot, Vincent (1972-....). Auteur du texte;;Nathan (Paris);2011;Collection : Blast | Code à barres commercial : EAN 9782092023143 | ;;fre | français | ;"1 vol. (372 p.) : couv. ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb42207144p | ISBN 9782800147260 | ;42207144;monographie;texte imprimé;"L'impertinence d'un été. Seconde partie / [dessins de] Pellejero ; [scénario de] Lapière";Pellejero, Rubén (1952-....). Auteur du texte | Lapière, Denis (1958-....). Auteur du texte | ;;Dupuis (Marcinelle);2010;Collection : Aire libre | Code à barres commercial : EAN 9782800147260 | ;;fre | français | ;"1 vol. (56 p.) : ill. en coul., couv. ill. en coul. ; 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb42155064d | ISBN 9782351425114 | ;42155064;monographie;texte imprimé;Vinland saga. 6 / Makoto Yukimura;Yukimura, Makoto (1976-....). Auteur du texte;;Kurokawa (Paris);2010;Collection : Collection dirigée par Grégoire Hellot | Code à barres commercial : EAN 9782351425114 | ;;fre | français | ;"1 vol. (224 p.) : ill. en noir et en coul., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42459184s | ISBN 9782742797134 | ;42459184;monographie;texte imprimé;"Jack / A. M. Homes ; traduit de l'américain par Jade Argueyrolles";Homes, Amy M. (1961-....). Auteur du texte;Argueyrolles, Jade. Traducteur;Actes Sud junior (Arles);2011;Collection : Romans ado | Code à barres commercial : EAN 9782742797134 | ;;fre | français | ;"1 vol. (278 p.) : couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb42435954p | ISBN 9782871427391 | ;42435954;monographie;texte imprimé;"Lon Po Po / Ed Young ; [traduction de Rose-Marie Vassallo]";Young, Ed (1931-....). Auteur du texte;Vassallo-Villaneau, Rose-Marie (1946-....). Traducteur;Mijade (Namur (Belgique)) | [Sodis diff.] (Lagny-sur-Marne) | ;2011;Collection : Les petits Mijade | Code à barres commercial : EAN 9782871427391 | ;;fre | français | ;"1 vol. (non paginé [30] p.) : ill. en coul., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb42380694r | ISBN 9782505010616 | ;42380694;monographie;texte imprimé;Réalités multiples / Masashi Kishimoto;Kishimoto, Masashi (1974-....). Auteur du texte;;Kana (Bruxelles);2011;Code à barres commercial : EAN 9782505010616;;fre | français | ;"1 vol. (202 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42093804x | ISBN 9782877676281 | ;42093804;monographie;texte imprimé;Une autre histoire / Anthony Browne;Browne, Anthony (1946-....). Auteur du texte;;Kaléidoscope (Paris);2009;Code à barres commercial : EAN 9782877676281;;fre | français | ;"1 vol. (non paginé [22] p.) : ill. en coul., couv. ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb42692474s | ISBN 9782723486682 | ;42692474;monographie;texte imprimé;À l'aube d'une grande aventure vers le Nouveau monde / Eiichiro Oda;Oda, Eiichirō (1975-....). Auteur du texte;;Glénat (Grenoble);2012;Collection : Shonen manga | Code à barres commercial : EAN 9782723486682 | ;;fre | français | ;"1 vol. (197 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42692494d | ISBN 9782723486804 | ;42692494;monographie;texte imprimé;L'instant de gloire / Yoichi Takahashi;Takahashi, Yōichi (1960-....). Auteur du texte;;Glénat (Grenoble);2012;Collection : Shonen manga | Code à barres commercial : EAN 9782723486804 | ;;fre | français | ;"1 vol. (181 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42542654h | ISBN 9782081247031 | ;42542654;monographie;texte imprimé;La petite bibliothèque du Père Castor;;;Flammarion-Père Castor (Paris);2011;"Comprend : Roule galette / Natha Caputo ; illustré par Pierre Belvès ; Conte de la marguerite : Béatrice Appia ; La plus mignonne des petites souris / Étienne Morel ; Michka / Marie Colmont ; illustré par F. Rojankovsky ; Le grand cerf et le lapin des champs / Vassilissa ; illustré par Romain Simon ; La vache orange / Nathan Hale : illustré par Lucile Butel | Code à barres commercial : EAN 9782081247031 | ";;fre | français | ;"6 vol. : ill. en coul., couv. ill. en coul. ; 15 x 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb42728924s | ISBN 9782505014843 | ;42728924;monographie;texte imprimé;Zettai Karen children. 4 / Shiina Takashi;Shiina, Takashi (1965-....). Auteur du texte;;Kana (Bruxelles);2012;Code à barres commercial : EAN 9782505014843;;fre | français | ;"1 vol. (186 p.) : ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb426710145 | ISBN 9782205067866 | ;42671014;monographie;texte imprimé;Attention à la chute ! / Cuadrado;Cuadrado, Marc (1959-....). Auteur du texte;;Dargaud (Paris);2012;Code à barres commercial : EAN 9782205067866;;fre | français | ;"1 vol. (40 p.) : ill. en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb42084744x | ISBN 9782070626793 | ;42084744;monographie;texte imprimé;"Une seule Terre pour nourrir les hommes / Florence Thinard ; [préface de Pierre Rabhi] ; illustrations de Loïc Le Gall";Thinard, Florence (1962-....). Auteur du texte;Le Gall, Loïc (1974-....). Illustrateur;Gallimard jeunesse (Paris);2009;Code à barres commercial : EAN 9782070626793;Coutumes alimentaires | Agriculture biologique | ;fre | français | ;"1 vol. (125 p.) : ill. en noir et en coul., couv. ill. en coul. ; 23 x 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb42262294j | ISBN 9782352890904 | ;42262294;monographie;texte imprimé;La surprise / Janik Coat;Coat, Janik (1972-....). Auteur du texte;;Éd. MeMo (Nantes);2010;Code à barres commercial : EAN 9782352890904;;fre | français | ;"1 vol. (non paginé [44] p.) : tout en ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb427259540 | ISBN 9782355923845 | ;42725954;monographie;texte imprimé;Blood alone. 3 / Masayuki Takano;Takano, Masayuki. Auteur du texte;;Éd. Ki-oon (Paris);2012;Code à barres commercial : EAN 9782355923845;;fre | français | ;"1 vol. (159 p.) : ill. en noir et en coul., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42649264k | ISBN 9782723480895 | ;42649264;monographie;texte imprimé;Naufragée / Mathilde Domecq;Domecq, Mathilde. Auteur du texte;;Glénat (Grenoble);2012;Collection : Tchô | Code à barres commercial : EAN 9782723480895 | ;;fre | français | ;"1 vol. (87 p.) : ill. en coul., couv. ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb42802554x | ISBN 9782359103267 | ;42802554;monographie;texte imprimé;Les chevaliers qui ne font plus "ni" !. 1 (Nouvelle version tout en couleurs) scénario, dessins et couleurs, Florent Maudoux;Maudoux, Florent (1979-....). Auteur du texte;;Ankama éd. (Roubaix);2012;Code à barres commercial : EAN 9782359103267;;fre | français | ;"1 vol. (69 p.) : ill. en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb421399544 | ISBN 9782742787074 | ;42139954;monographie;texte imprimé;Sports alternatifs, sports d'aujourd'hui / Éric Serres;Serres, Éric. Auteur du texte;;Actes Sud junior (Arles) | Agence pour l'éducation par le sport (Paris) | ;2010;Collection : le sens du sport | Code à barres commercial : EAN 9782742787074 | ;Sports extrêmes;fre | français | ;"1 vol. (87 p.-[7] p. de pl.) : ill. en coul., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42736704b | ISBN 9782211209298 | ;42736704;monographie;texte imprimé;"Max et Moritz : avec Claque-du-bec & Cie / Wilhelm Busch ; adapté de l'allemand par Cavanna";Busch, Wilhelm (1832-1908). Auteur du texte;Cavanna, François (1923-2014). Traducteur;l'École des loisirs (Paris);2012;Code à barres commercial : EAN 9782211209298;;fre | français | ;"1 vol. (151 p.) : ill. en noir et en coul., couv. ill. en coul. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb42329834c | ISBN 9782848653822 | ;42329834;monographie;texte imprimé;La ballade de Sean Hopper / Martine Pouchain;Pouchain, Martine. Auteur du texte;;Éd. Sarbacane (Paris);2010;Collection : Exprim' | Code à barres commercial : EAN 9782848651651 | ;;fre | français | ;"1 vol. (233 p.) : couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb427262142 | ISBN 9782355923869 | ;42726214;monographie;texte imprimé;Blood alone. 5 / Masayuki Takano;Takano, Masayuki. Auteur du texte;;Éd. Ki-oon (Paris);2012;Code à barres commercial : EAN 9782355923869;;fre | français | ;"1 vol. (non paginé [ca 210] p.) : ill. en noir et en coul., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42577184w | ISBN 9782226230423 | ;42577184;monographie;texte imprimé;ABC des tracas / Anne-Margot Ramstein, Matthias Arégui;Ramstein, Anne-Margot (1984-....). Auteur du texte | Arégui, Matthias (1984-....). Auteur du texte | ;;A. Michel jeunesse (Paris);2011;Code à barres commercial : EAN 9782226230423;;fre | français | ;"1 vol. (non paginé [50] p. dont 6 p. de dépl.) : ill. en noir et en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb42276484z | ISBN 9782353480180 | ;42276484;monographie;texte imprimé;Papa Moomin et les espions / par Lars Jansson;Jansson, Lars (1926-2000). Auteur du texte;;le Petit lézard (Poitiers);2010;Code à barres commercial : EAN 9782353480180;;fre | français | ;"1 vol. (150 p.) : ill., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb46642884q | ISBN 9791023513394 | ;46642884;monographie;texte imprimé;Imagier du vivant / [peintures de] Martin Jarrie;;Jarrie, Martin (1953-....). Illustrateur;Seuil jeunesse (Paris);2020;Code à barres commercial : EAN 9791023513394;Nature;fre | français | ;"1 vol. (non paginé [57] p.) : tout en ill. en coul. ; 35 cm";
http://catalogue.bnf.fr/ark:/12148/cb420948045 | ISBN 9782211097307 | ;42094804;monographie;texte imprimé;Aggie change de vie / Malika Ferdjoukh;Ferdjoukh, Malika (1957-....). Auteur du texte;;l'École des loisirs (Paris);2009;Collection : Neuf | Code à barres commercial : EAN 9782211097307 | ;;fre | français | ;"1 vol. (93 p.) : couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb46648954h | ISBN 9791023513066 | ;46648954;monographie;texte imprimé;Éléphants / Marc Daniau;Daniau, Marc (1964-....). Auteur du texte;;Seuil jeunesse (Paris);2020;Code à barres commercial : EAN 9791023513066;Éléphants;fre | français | ;"1 vol. (92 p.) : ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb45143074f | ISBN 9782748521924 | ;45143074;monographie;texte imprimé;L'enfaon / Éric Simard;Simard, Éric (1962-....). Auteur du texte;;Mini Syros (Paris);2016;Collection : Mini Syros | Code à barres commercial : EAN 9782748521924 | ;;fre | français | ;"1 vol. (42 p.) : ill. en coul. ; 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb45238874t | ISBN 9782070601523 | ;45238874;monographie;texte imprimé;Le roman d'Ernest et Célestine / Daniel Pennac;Pennac, Daniel (1944-....). Auteur du texte;;Gallimard jeunesse (Paris);2017;"Collection : Folio junior ; 1769 | Code à barres commercial : EAN 9782070601523 | ";;fre | français | ;"1 vol. (188 p.) ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb45472724q | ISBN 9782278089338 | ;45472724;monographie;multimédia multisupport;"Oh hisse petit escargot ! / une histoire écrite et racontée par Cécile Bergame ; mise en musique par Timothée Jolly ; illustrée par Cécile Hudrisier ; [voix : Cécile Bergame]";Jolly, Timothée. Compositeur | Hudrisier, Cécile (1976-....). Illustrateur | Bergame, Cécile (1965-....). Voix parlée | ;;Didier jeunesse (Paris);2018;Collection : Polichinelle | Code à barres commercial : EAN 9782278089338 | ;;fre | français | ;"1 vol. (37 p.) : ill. ; 21 cm. - 1 disque compact (14 min 55 s)";
http://catalogue.bnf.fr/ark:/12148/cb45668094j | ISBN 9782278091379 | ;45668094;monographie;multimédia multisupport;"Sur le dos d'une souris / [voix : Cécile Bergame] (Didier jeunesse) une histoire écrite et racontée par Cécile Bergame ; mise en musique par Timothée Jolly ; illustrée par Cécile Hudrisier";Jolly, Timothée. Compositeur | Hudrisier, Cécile. Illustrateur | Bergame, Cécile (1965-....). Voix parlée | ;;Didier Jeunesse (Paris);2019;Collection : Polichinelle | Code à barres commercial : EAN 9782278091379 | ;;fre | français | ;1 disque compact (15 min 54 s);
http://catalogue.bnf.fr/ark:/12148/cb39952075k | ISBN 2020573652 | ;39952075;monographie;texte imprimé;La chenille et les animaux sauvages / Laura Rosano;Rosano, Laura (1958-....). Auteur du texte;;Seuil jeunesse (Paris);2005;Code à barres commercial : EAN 9782020573658;;fre | français | ;"Non paginé [28] p. : ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb38875875m | ISBN 2092824929 | ;38875875;monographie;texte imprimé;"L'oeil du loup / Daniel Pennac ; ill. de Jacques Ferrandez";Pennac, Daniel (1944-....). Auteur du texte;Ferrandez, Jacques (1955-....). Illustrateur;Nathan (Paris);2002;"Collection : Pleine lune ; 141 | Code à barres commercial : EAN 9782092824924 | ";;fre | français | ;"152 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb38964855q | ISBN 2070537234 | ;38964855;monographie;texte imprimé;"Le doigt magique / Roald Dahl ; ill. par Henri Galeron ; [trad. par Marie Saint-Dizier et Raymond Farré]";Dahl, Roald (1916-1990). Auteur du texte;Galeron, Henri (1939-....). Illustrateur | Saint-Dizier, Marie (1944-....). Traducteur | Farré, Raymond (1941-....). Traducteur | ;Gallimard jeunesse (Paris);2002;"Collection : Folio cadet ; 185 | Code à barres commercial : EAN 9782070537235 | ";;fre | français | ;"52 p. : ill. en coul., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb409999356 | ISBN 9782013223379 | ;40999935;monographie;texte imprimé;Les archives du futur : un siècle de S.-F. / [publié par] Alain Grousset;;Grousset, Alain (1956-....). Éditeur scientifique;Librairie générale française (Paris);2007;Collection : Le livre de poche | Code à barres commercial : EAN 9782013223379 | ;;fre | français | ;"1 vol. (253 p.) : couv. et jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb40072105d | ISBN 2849650692 | ;40072105;monographie;texte imprimé;"Blackjack. 11 / Osamu Tezuka ; [traduit du japonais par Jacques Lalloz] ; [adapté par Rodolphe Massé]";Tezuka, Osamu (1928-1989). Auteur du texte;Lalloz, Jacques. Traducteur | Massé, Rodolphe (1973-....). Adaptateur | ;Asuka (Paris);2005;Code à barres commercial : EAN 9782849650691;;fre | français | ;"1 vol. (303 p.) : ill. en noir et en coul., jaquette ill. en coul. ; 15 cm";
